anime_id,title,image,release_on,Episodes
1,Cowboy Bebop: Tengoku no Tobira,https://upload.wikimedia.org/wikipedia/en/6/68/Attack_on_Titan_cover.jpg,2001-09-01,1
2,Neon Genesis Evangelion: Death & Rebirth,https://upload.wikimedia.org/wikipedia/en/6/68/Attack_on_Titan_cover.jpg,1997-03-15,1
3,Neon Genesis Evangelion: The End of Evangelion,https://upload.wikimedia.org/wikipedia/en/4/4b/OnePieceVolume61Cover.jpg,1997-07-19,1
4,Koukaku Kidoutai,https://upload.wikimedia.org/wikipedia/en/9/99/Fullmetal_Alchemist_-_Volume_1.jpg,1995-11-18,1
5,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,https://upload.wikimedia.org/wikipedia/en/2/22/Demon_Slayer_-_Kimetsu_no_Yaiba%2C_volume_1.jpg,1997-12-20,1
6,Akira,https://upload.wikimedia.org/wikipedia/en/b/b2/Sword_Art_Online_light_novel_volume_1_cover.jpg,1988-07-16,1
7,Appleseed (Movie),https://upload.wikimedia.org/wikipedia/en/7/7d/Dragon_Ball_Z_vol._1_DVD_cover.jpg,2004-04-17,1
8,Mobile Suit Gundam: The 08th MS Team - Miller's Report,https://upload.wikimedia.org/wikipedia/en/4/4b/OnePieceVolume61Cover.jpg,1998-08-01,1
9,Mobile Suit Gundam: Char's Counterattack,https://upload.wikimedia.org/wikipedia/en/a/af/My_Hero_Academia_Volume_1.jpg,1988-03-12,1
10,Mobile Suit Gundam F91,https://upload.wikimedia.org/wikipedia/en/2/22/Demon_Slayer_-_Kimetsu_no_Yaiba%2C_volume_1.jpg,1991-03-16,1
11,X/1999,https://upload.wikimedia.org/wikipedia/en/6/6f/Death_Note_Vol_1.jpg,1996-08-03,1
12,Mononoke Hime,https://upload.wikimedia.org/wikipedia/en/4/4b/OnePieceVolume61Cover.jpg,1997-07-12,1
13,Ultra Maniac OVA,https://upload.wikimedia.org/wikipedia/en/a/af/My_Hero_Academia_Volume_1.jpg,2002-08-06,1
14,Initial D Third Stage,https://upload.wikimedia.org/wikipedia/en/9/99/Fullmetal_Alchemist_-_Volume_1.jpg,2001-01-13,1
15,Love Hina Christmas Special: Silent Eve,https://upload.wikimedia.org/wikipedia/en/b/b2/Sword_Art_Online_light_novel_volume_1_cover.jpg,2000-12-25,1
16,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,https://upload.wikimedia.org/wikipedia/en/7/72/OnePunchMan_manga_cover.png,2001-04-02,1
17,Sen to Chihiro no Kamikakushi,https://upload.wikimedia.org/wikipedia/en/a/af/My_Hero_Academia_Volume_1.jpg,2001-07-20,1
18,Project A-Ko,https://upload.wikimedia.org/wikipedia/en/7/72/OnePunchMan_manga_cover.png,1986-06-21,1
19,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,https://upload.wikimedia.org/wikipedia/en/6/6f/Death_Note_Vol_1.jpg,2002-10-19,1
20,Kidou Senkan Nadesico: The Prince of Darkness,https://upload.wikimedia.org/wikipedia/en/a/af/My_Hero_Academia_Volume_1.jpg,1998-08-01,1
21,Hoshi no Koe,https://upload.wikimedia.org/wikipedia/en/4/4b/OnePieceVolume61Cover.jpg,2002-02-02,1
22,Hajime no Ippo: Champion Road,https://upload.wikimedia.org/wikipedia/en/9/94/NarutoCoverTankobon1.jpg,2003-04-18,1
23,Hajime no Ippo: Mashiba vs. Kimura,https://upload.wikimedia.org/wikipedia/en/6/68/Attack_on_Titan_cover.jpg,2003-09-05,1
24,Aa! Megami-sama! Movie,https://upload.wikimedia.org/wikipedia/en/9/94/NarutoCoverTankobon1.jpg,2000-10-21,1
25,Ace wo Nerae! (1979),https://upload.wikimedia.org/wikipedia/en/b/b2/Sword_Art_Online_light_novel_volume_1_cover.jpg,1979-09-08,1
26,Xiao Qian,https://upload.wikimedia.org/wikipedia/en/9/94/NarutoCoverTankobon1.jpg,1997-07-31,1
27,Final Fantasy VII: Advent Children,https://upload.wikimedia.org/wikipedia/en/4/4b/OnePieceVolume61Cover.jpg,2005-09-14,1
28,Fake,https://upload.wikimedia.org/wikipedia/en/9/94/NarutoCoverTankobon1.jpg,1998-04-21,1
29,Cardcaptor Sakura Movie 1,https://upload.wikimedia.org/wikipedia/en/a/af/My_Hero_Academia_Volume_1.jpg,1999-08-21,1
30,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,https://upload.wikimedia.org/wikipedia/en/2/22/Demon_Slayer_-_Kimetsu_no_Yaiba%2C_volume_1.jpg,2000-07-15,1
31,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",https://upload.wikimedia.org/wikipedia/en/6/68/Attack_on_Titan_cover.jpg,2005-04-21,1
32,eX-Driver the Movie,https://upload.wikimedia.org/wikipedia/en/6/6f/Death_Note_Vol_1.jpg,2002-04-20,1
33,Escaflowne,https://upload.wikimedia.org/wikipedia/en/b/b2/Sword_Art_Online_light_novel_volume_1_cover.jpg,2000-06-24,1
34,Seikai no Senki III,https://upload.wikimedia.org/wikipedia/en/6/6f/Death_Note_Vol_1.jpg,2005-08-06,2
35,Seikai no Senki Special,https://upload.wikimedia.org/wikipedia/en/9/99/Fullmetal_Alchemist_-_Volume_1.jpg,2001-07-04,1
36,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,https://upload.wikimedia.org/wikipedia/en/a/af/My_Hero_Academia_Volume_1.jpg,2001-12-03,2
37,Otogi Juushi Akazukin OVA,https://upload.wikimedia.org/wikipedia/en/2/22/Demon_Slayer_-_Kimetsu_no_Yaiba%2C_volume_1.jpg,2005-02-20,1
38,Blood: The Last Vampire,https://upload.wikimedia.org/wikipedia/en/9/94/NarutoCoverTankobon1.jpg,2000-11-18,1
39,Final Fantasy VII: Last Order,https://upload.wikimedia.org/wikipedia/en/6/6f/Death_Note_Vol_1.jpg,2005-09-14,1
40,Hametsu no Mars,https://upload.wikimedia.org/wikipedia/en/a/af/My_Hero_Academia_Volume_1.jpg,2005-07-06,1
41,Tonari no Yamada-kun,https://upload.wikimedia.org/wikipedia/en/2/22/Demon_Slayer_-_Kimetsu_no_Yaiba%2C_volume_1.jpg,1999-07-17,1
42,Kurenai no Buta,https://upload.wikimedia.org/wikipedia/en/b/b2/Sword_Art_Online_light_novel_volume_1_cover.jpg,1992-07-18,1
43,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,https://upload.wikimedia.org/wikipedia/en/9/94/NarutoCoverTankobon1.jpg,1991-11-02,1
44,Spriggan,https://upload.wikimedia.org/wikipedia/en/4/4b/OnePieceVolume61Cover.jpg,1998-09-05,1
45,Kaleido Star: Aratanaru Tsubasa - Extra Stage,https://upload.wikimedia.org/wikipedia/en/9/94/NarutoCoverTankobon1.jpg,2004-09-24,1
46,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,https://upload.wikimedia.org/wikipedia/en/9/94/NarutoCoverTankobon1.jpg,2005-12-11,1
47,Fullmetal Alchemist: The Conqueror of Shamballa,https://upload.wikimedia.org/wikipedia/en/6/68/Attack_on_Titan_cover.jpg,2005-07-23,1
48,Howl no Ugoku Shiro,https://upload.wikimedia.org/wikipedia/en/4/4b/OnePieceVolume61Cover.jpg,2004-11-20,1
49,"Kumo no Mukou, Yakusoku no Basho",https://upload.wikimedia.org/wikipedia/en/9/99/Fullmetal_Alchemist_-_Volume_1.jpg,2004-11-20,1
50,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,https://upload.wikimedia.org/wikipedia/en/7/7d/Dragon_Ball_Z_vol._1_DVD_cover.jpg,1989-07-25,1
51,Perfect Blue,https://upload.wikimedia.org/wikipedia/en/2/22/Demon_Slayer_-_Kimetsu_no_Yaiba%2C_volume_1.jpg,1998-02-28,1
52,Shoujo Kakumei Utena: Adolescence Mokushiroku,https://upload.wikimedia.org/wikipedia/en/6/68/Attack_on_Titan_cover.jpg,1999-08-14,1
53,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,https://upload.wikimedia.org/wikipedia/en/4/4b/OnePieceVolume61Cover.jpg,2004-08-21,1
54,Onegai☆Teacher: Himitsu na Futari,https://upload.wikimedia.org/wikipedia/en/6/6f/Death_Note_Vol_1.jpg,2002-10-25,1
55,Tenjou Tenge: The Ultimate Fight,https://upload.wikimedia.org/wikipedia/en/b/b2/Sword_Art_Online_light_novel_volume_1_cover.jpg,2005-03-16,2
