user_name,list_name,rank_in_list,item_id
john.smith,Anime Extravaganza,1,47
john.smith,Anime Extravaganza,2,336
john.smith,Anime Extravaganza,3,297
john.smith,Anime Extravaganza,4,64
john.smith,Anime Extravaganza,5,74
john.smith,Anime Extravaganza,6,235
john.smith,Anime Extravaganza,7,478
john.smith,Anime Extravaganza,8,185
john.smith,Anime Extravaganza,9,390
john.smith,Anime Extravaganza,10,239
john.smith,Top Action Movies,1,302
john.smith,Top Action Movies,2,482
john.smith,Top Action Movies,3,445
john.smith,Top Action Movies,4,190
john.smith,Top Action Movies,5,221
john.smith,Top Action Movies,6,378
john.smith,Top Action Movies,7,230
john.smith,Top Action Movies,8,121
john.smith,Top Action Movies,9,485
john.smith,Top Action Movies,10,135
john.smith,Chill Beats,1,238
john.smith,Chill Beats,2,332
john.smith,Chill Beats,3,66
john.smith,Chill Beats,4,379
john.smith,Chill Beats,5,403
john.smith,Chill Beats,6,60
john.smith,Chill Beats,7,200
john.smith,Chill Beats,8,23
john.smith,Chill Beats,9,267
john.smith,Chill Beats,10,399
emily.johnson,Fantasy Adventures,1,463
emily.johnson,Fantasy Adventures,2,117
emily.johnson,Fantasy Adventures,3,265
emily.johnson,Fantasy Adventures,4,334
emily.johnson,Fantasy Adventures,5,417
emily.johnson,Fantasy Adventures,6,317
emily.johnson,Fantasy Adventures,7,311
emily.johnson,Fantasy Adventures,8,393
emily.johnson,Fantasy Adventures,9,28
emily.johnson,Fantasy Adventures,10,395
michael.williams,Retro Games,1,122
michael.williams,Retro Games,2,290
michael.williams,Retro Games,3,5
michael.williams,Retro Games,4,33
michael.williams,Retro Games,5,350
michael.williams,Retro Games,6,490
michael.williams,Retro Games,7,347
michael.williams,Retro Games,8,403
michael.williams,Retro Games,9,235
michael.williams,Retro Games,10,333
michael.williams,Classic Rock,1,219
michael.williams,Classic Rock,2,283
michael.williams,Classic Rock,3,37
michael.williams,Classic Rock,4,462
michael.williams,Classic Rock,5,284
michael.williams,Classic Rock,6,184
michael.williams,Classic Rock,7,194
michael.williams,Classic Rock,8,493
michael.williams,Classic Rock,9,106
michael.williams,Classic Rock,10,281
emma.brown,Drama Series,1,129
emma.brown,Drama Series,2,186
emma.brown,Drama Series,3,446
emma.brown,Drama Series,4,473
emma.brown,Drama Series,5,381
emma.brown,Drama Series,6,428
emma.brown,Drama Series,7,331
emma.brown,Drama Series,8,364
emma.brown,Drama Series,9,300
emma.brown,Drama Series,10,20
joshua.jones,Top RPG Games,1,284
joshua.jones,Top RPG Games,2,302
joshua.jones,Top RPG Games,3,441
joshua.jones,Top RPG Games,4,488
joshua.jones,Top RPG Games,5,112
joshua.jones,Top RPG Games,6,138
joshua.jones,Top RPG Games,7,412
joshua.jones,Top RPG Games,8,21
joshua.jones,Top RPG Games,9,297
joshua.jones,Top RPG Games,10,144
joshua.jones,Pop Hits,1,188
joshua.jones,Pop Hits,2,354
joshua.jones,Pop Hits,3,282
joshua.jones,Pop Hits,4,301
joshua.jones,Pop Hits,5,80
joshua.jones,Pop Hits,6,99
joshua.jones,Pop Hits,7,242
joshua.jones,Pop Hits,8,162
joshua.jones,Pop Hits,9,233
joshua.jones,Pop Hits,10,384
joshua.jones,Must-Watch Anime,1,318
joshua.jones,Must-Watch Anime,2,126
joshua.jones,Must-Watch Anime,3,212
joshua.jones,Must-Watch Anime,4,24
joshua.jones,Must-Watch Anime,5,111
joshua.jones,Must-Watch Anime,6,298
joshua.jones,Must-Watch Anime,7,409
joshua.jones,Must-Watch Anime,8,411
joshua.jones,Must-Watch Anime,9,200
joshua.jones,Must-Watch Anime,10,299
joshua.jones,Blockbuster Movies,1,292
joshua.jones,Blockbuster Movies,2,104
joshua.jones,Blockbuster Movies,3,60
joshua.jones,Blockbuster Movies,4,442
joshua.jones,Blockbuster Movies,5,97
joshua.jones,Blockbuster Movies,6,103
joshua.jones,Blockbuster Movies,7,373
joshua.jones,Blockbuster Movies,8,437
joshua.jones,Blockbuster Movies,9,113
joshua.jones,Blockbuster Movies,10,96
madison.davis,Top Anime Series,1,134
madison.davis,Top Anime Series,2,424
madison.davis,Top Anime Series,3,57
madison.davis,Top Anime Series,4,407
madison.davis,Top Anime Series,5,317
madison.davis,Top Anime Series,6,135
madison.davis,Top Anime Series,7,13
madison.davis,Top Anime Series,8,274
madison.davis,Top Anime Series,9,351
madison.davis,Top Anime Series,10,292
madison.davis,Greatest Hits,1,183
madison.davis,Greatest Hits,2,173
madison.davis,Greatest Hits,3,94
madison.davis,Greatest Hits,4,326
madison.davis,Greatest Hits,5,285
madison.davis,Greatest Hits,6,99
madison.davis,Greatest Hits,7,96
madison.davis,Greatest Hits,8,249
madison.davis,Greatest Hits,9,430
madison.davis,Greatest Hits,10,124
daniel.miller,Indie Games,1,305
daniel.miller,Indie Games,2,164
daniel.miller,Indie Games,3,332
daniel.miller,Indie Games,4,451
daniel.miller,Indie Games,5,457
daniel.miller,Indie Games,6,195
daniel.miller,Indie Games,7,417
daniel.miller,Indie Games,8,283
daniel.miller,Indie Games,9,191
daniel.miller,Indie Games,10,265
daniel.miller,Sci-Fi Movies,1,34
daniel.miller,Sci-Fi Movies,2,110
daniel.miller,Sci-Fi Movies,3,204
daniel.miller,Sci-Fi Movies,4,402
daniel.miller,Sci-Fi Movies,5,3
daniel.miller,Sci-Fi Movies,6,375
daniel.miller,Sci-Fi Movies,7,121
daniel.miller,Sci-Fi Movies,8,440
daniel.miller,Sci-Fi Movies,9,161
daniel.miller,Sci-Fi Movies,10,229
daniel.miller,Top Anime Picks,1,333
daniel.miller,Top Anime Picks,2,446
daniel.miller,Top Anime Picks,3,376
daniel.miller,Top Anime Picks,4,242
daniel.miller,Top Anime Picks,5,257
daniel.miller,Top Anime Picks,6,101
daniel.miller,Top Anime Picks,7,60
daniel.miller,Top Anime Picks,8,234
daniel.miller,Top Anime Picks,9,141
daniel.miller,Top Anime Picks,10,489
daniel.miller,Old School Hits,1,306
daniel.miller,Old School Hits,2,242
daniel.miller,Old School Hits,3,20
daniel.miller,Old School Hits,4,496
daniel.miller,Old School Hits,5,119
daniel.miller,Old School Hits,6,411
daniel.miller,Old School Hits,7,299
daniel.miller,Old School Hits,8,354
daniel.miller,Old School Hits,9,125
daniel.miller,Old School Hits,10,403
