song_id,title,writer,album,image,release_in_year
1,Testify,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
2,Guerrilla Radio,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
3,Calm Like a Bomb,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
4,Mic Check,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
5,Sleep Now In the Fire,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
6,Born of a Broken Man,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
7,Born As Ghosts,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
8,Maria,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
9,Voice of the Voiceless,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
10,New Millennium Homes,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
11,Ashes In the Fall,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
12,War Within a Breath,['Rage Against The Machine'],The Battle Of Los Angeles,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1999-11-02
13,Bombtrack,['Rage Against The Machine'],Rage Against The Machine,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1992-11-03
14,Killing In the Name,['Rage Against The Machine'],Rage Against The Machine,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1992-11-03
15,Take the Power Back,['Rage Against The Machine'],Rage Against The Machine,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1992-11-03
16,Settle for Nothing,['Rage Against The Machine'],Rage Against The Machine,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1992-11-03
17,Bullet In the Head,['Rage Against The Machine'],Rage Against The Machine,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1992-11-03
18,Know Your Enemy,['Rage Against The Machine'],Rage Against The Machine,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1992-11-03
19,Wake Up,['Rage Against The Machine'],Rage Against The Machine,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1992-11-03
20,Fistful of Steel,['Rage Against The Machine'],Rage Against The Machine,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1992-11-03
21,Township Rebellion,['Rage Against The Machine'],Rage Against The Machine,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1992-11-03
22,Freedom,['Rage Against The Machine'],Rage Against The Machine,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1992-11-03
23,Man on a Mission,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
24,Do It for Love,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
25,Someday We'll Know,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
26,Forever for You,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
27,Life's Too Short,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
28,Getaway Car,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
29,Make You Stay,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
30,Miss DJ,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
31,She Got Me Bad,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
32,Breath of Your Life,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
33,Intuition,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
34,Heartbreak Time,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
35,Something About You,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
36,Love in a Dangerous Time,['Daryl Hall & John Oates'],Do It for Love,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2018-04-10
37,Love The One You're With,['Will Young'],Fridays Child,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2003-12-01
38,Your Game,['Will Young'],Fridays Child,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2003-12-01
39,Stronger,['Will Young'],Fridays Child,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2003-12-01
40,Leave Right Now,['Will Young'],Fridays Child,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2003-12-01
41,Love Is A Matter Of Distance,['Will Young'],Fridays Child,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2003-12-01
42,Dance The Night Away,['Will Young'],Fridays Child,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2003-12-01
43,Very Kind,['Will Young'],Fridays Child,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2003-12-01
44,Free,['Will Young'],Fridays Child,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2003-12-01
45,Going My Way,['Will Young'],Fridays Child,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2003-12-01
46,Out Of My Mind,['Will Young'],Fridays Child,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2003-12-01
47,Friday's Child,['Will Young'],Fridays Child,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,2003-12-01
48,Listen For The Laugh,['Bruce Cockburn'],Dart To The Heart,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1994-03-01
49,All The Ways I Want You,['Bruce Cockburn'],Dart To The Heart,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1994-03-01
50,Bone In My Ear,['Bruce Cockburn'],Dart To The Heart,https://upload.wikimedia.org/wikipedia/en/9/95/Bury_Me_At_Makeout_Creek.jpg,1994-03-01
