id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
1,dgeneration-hd,D/Generation HD,,2015-10-23,False,2019-09-17T11:58:57,http://dgeneration.net,0.0,0,1,80,2,292,0,4,PC||macOS||Xbox One||PlayStation 4||Nintendo Switch,West Coast Software,Adventure||Puzzle,West Coast Software,Everyone 10+,4,88,2,2,0,0
10,g-prime,G Prime Into The Rain,,2016-01-06,False,2019-11-06T23:04:19,,0.0,0,0,26,3,389,0,3,macOS||PC||Xbox One,Soma Games,Simulation||Indie,Immanitas Entertainment||Code-Monkeys,Everyone,2,42,2,0,0,0
100,land-sliders,Land Sliders,,2015-09-24,False,2019-10-22T13:56:16,http://prettygreat.com,0.0,0,0,0,2,83,0,2,iOS,Prettygreat Pty,Adventure||Arcade,Prettygreat Pty,Everyone 10+,0,2,2,0,1,0
1000,pixel-gear,Pixel Gear,,2016-10-20,False,2019-08-28T22:16:02,https://www.facebook.com/Geronimo-Interactive-1789605664633280/?ref=bookmarks,0.0,0,0,0,0,455,0,0,PC||PlayStation 4,Oasis Games||Geronimo Interactive,Action||Indie,Geronimo Interactive,Teen,0,1,0,0,0,0
10000,gods-and-idols,Gods and Idols,,2016-12-12,False,2019-09-17T13:37:13,http://www.godsandidols.com/,0.0,1,1,0,5,262,0,5,PC,Viking Tao,RPG||Strategy||Massively Multiplayer,Viking Tao,,2,79,0,0,0,0
100000,plague-venue,Plague venue,,2017-12-02,False,2019-01-09T12:41:06,,0.0,0,0,0,0,40,0,0,Web,Alexander Ponomariov,,,,0,0,0,0,0,0
100001,the-moon-sliver-itch,The Moon Sliver (itch),,2014-05-03,False,2019-01-09T12:41:06,,0.0,0,0,0,0,116,0,0,PC||macOS,David Szymanski,Adventure,,,0,0,0,0,0,0
100002,red-entity,Red Entity,,2014-08-26,False,2019-01-09T12:41:06,,0.0,0,0,0,0,39,0,0,PC||macOS||Linux,woof,Action||Shooter,,,0,0,0,0,0,0
100004,hippiesvscops,HippiesVsCops,,2016-04-18,False,2019-08-28T23:25:11,,0.0,0,0,0,0,26,0,0,PC,alegaroficial,Strategy,,,0,0,0,0,0,0
100005,they-came-through-the-floor,They Came Through the Floor,,2018-06-24,False,2019-01-09T12:41:06,,0.0,0,0,0,0,98,0,0,PC,Atte Okkonen,Platformer,,,0,0,0,0,0,0
