user_name,list_name,rank_in_list,item_id
john.smith,Anime Extravaganza,1,2163
john.smith,Anime Extravaganza,2,2375
john.smith,Anime Extravaganza,3,1665
john.smith,Anime Extravaganza,4,1124
john.smith,Anime Extravaganza,5,4016
john.smith,Anime Extravaganza,6,4907
john.smith,Anime Extravaganza,7,2237
john.smith,Anime Extravaganza,8,4654
john.smith,Anime Extravaganza,9,4887
john.smith,Anime Extravaganza,10,154
john.smith,Top Action Movies,1,1003
john.smith,Top Action Movies,2,210
john.smith,Top Action Movies,3,3496
john.smith,Top Action Movies,4,1502
john.smith,Top Action Movies,5,2076
john.smith,Top Action Movies,6,2937
john.smith,Top Action Movies,7,2291
john.smith,Top Action Movies,8,1403
john.smith,Top Action Movies,9,4945
john.smith,Top Action Movies,10,33
john.smith,Chill Beats,1,596
john.smith,Chill Beats,2,1869
john.smith,Chill Beats,3,2681
john.smith,Chill Beats,4,2679
john.smith,Chill Beats,5,929
john.smith,Chill Beats,6,4859
john.smith,Chill Beats,7,2052
john.smith,Chill Beats,8,1496
john.smith,Chill Beats,9,2679
john.smith,Chill Beats,10,2
emily.johnson,Fantasy Adventures,1,2051
emily.johnson,Fantasy Adventures,2,2362
emily.johnson,Fantasy Adventures,3,2659
emily.johnson,Fantasy Adventures,4,1596
emily.johnson,Fantasy Adventures,5,4248
emily.johnson,Fantasy Adventures,6,716
emily.johnson,Fantasy Adventures,7,717
emily.johnson,Fantasy Adventures,8,3371
emily.johnson,Fantasy Adventures,9,1827
emily.johnson,Fantasy Adventures,10,2922
michael.williams,Retro Games,1,3033
michael.williams,Retro Games,2,730
michael.williams,Retro Games,3,2715
michael.williams,Retro Games,4,892
michael.williams,Retro Games,5,2156
michael.williams,Retro Games,6,2745
michael.williams,Retro Games,7,775
michael.williams,Retro Games,8,31
michael.williams,Retro Games,9,4015
michael.williams,Retro Games,10,4339
michael.williams,Classic Rock,1,4072
michael.williams,Classic Rock,2,889
michael.williams,Classic Rock,3,678
michael.williams,Classic Rock,4,335
michael.williams,Classic Rock,5,2315
michael.williams,Classic Rock,6,4613
michael.williams,Classic Rock,7,4686
michael.williams,Classic Rock,8,3859
michael.williams,Classic Rock,9,4324
michael.williams,Classic Rock,10,2996
emma.brown,Drama Series,1,4342
emma.brown,Drama Series,2,2833
emma.brown,Drama Series,3,4665
