id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
1,dgeneration-hd,D/Generation HD,,10/23/2015,FALSE,2019-09-17T11:58:57,http://dgeneration.net,0,0,1,80,2,292,0,4,PC||macOS||Xbox One||PlayStation 4||Nintendo Switch,West Coast Software,Adventure||Puzzle,West Coast Software,Everyone 10+,4,88,2,2,0,0
2,g-prime,G Prime Into The Rain,,1/6/2016,FALSE,2019-11-06T23:04:19,,0,0,0,26,3,389,0,3,macOS||PC||Xbox One,Soma Games,Simulation||Indie,Immanitas Entertainment||Code-Monkeys,Everyone,2,42,2,0,0,0
3,land-sliders,Land Sliders,,9/24/2015,FALSE,2019-10-22T13:56:16,http://prettygreat.com,0,0,0,0,2,83,0,2,iOS,Prettygreat Pty,Adventure||Arcade,Prettygreat Pty,Everyone 10+,0,2,2,0,1,0
4,pixel-gear,Pixel Gear,,10/20/2016,FALSE,2019-08-28T22:16:02,https://www.facebook.com/Geronimo-Interactive-1789605664633280/?ref=bookmarks,0,0,0,0,0,455,0,0,PC||PlayStation 4,Oasis Games||Geronimo Interactive,Action||Indie,Geronimo Interactive,Teen,0,1,0,0,0,0
5,gods-and-idols,Gods and Idols,,12/12/2016,FALSE,2019-09-17T13:37:13,http://www.godsandidols.com/,0,1,1,0,5,262,0,5,PC,Viking Tao,RPG||Strategy||Massively Multiplayer,Viking Tao,,2,79,0,0,0,0
6,plague-venue,Plague venue,,12/2/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,40,0,0,Web,Alexander Ponomariov,,,,0,0,0,0,0,0
7,the-moon-sliver-itch,The Moon Sliver (itch),,5/3/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,116,0,0,PC||macOS,David Szymanski,Adventure,,,0,0,0,0,0,0
8,red-entity,Red Entity,,8/26/2014,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,39,0,0,PC||macOS||Linux,woof,Action||Shooter,,,0,0,0,0,0,0
9,hippiesvscops,HippiesVsCops,,4/18/2016,FALSE,2019-08-28T23:25:11,,0,0,0,0,0,26,0,0,PC,alegaroficial,Strategy,,,0,0,0,0,0,0
10,they-came-through-the-floor,They Came Through the Floor,,6/24/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,98,0,0,PC,Atte Okkonen,Platformer,,,0,0,0,0,0,0
11,fading-light-descent,Fading Light: Descent,,8/24/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,279,0,0,PC,Dansodic,Adventure,,,0,1,0,0,0,0
12,the-book-ritual-beta,The Book Ritual (Beta),,7/6/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,111,0,0,PC||macOS,Alistair Aitcheson,,,,0,0,0,0,0,0
13,corner-of-the-club-simulator,Corner of the Club Simulator,,4/30/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,21,0,0,PC||Web,Jayson Musson,Simulation,,,0,0,0,0,0,0
14,serious-sam-fusion-2017-beta,Serious Sam Fusion 2017 (beta),,3/20/2017,FALSE,2020-03-08T19:03:42,http://www.croteam.com,3.07,4,1,76,227,541,19,227,Linux||macOS||PC,Croteam,Action||Indie,Devolver Digital||Croteam,,200,3292,41,11,79,2
15,intelligence-the-314th-clash,Intelligence: The 314th Clash!,,8/31/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,355,0,0,PC,Bizarre Monkey,RPG,,,0,0,0,0,0,0
16,que-sera-sera-demo,Que Sera Sera Demo,,4/8/2018,FALSE,2019-08-28T23:25:11,,0,0,0,0,0,164,0,0,PC||macOS,Eufrasio,Action||Shooter||Platformer,,,0,0,0,0,0,0
17,excelsior-phase-one-lysandia,Excelsior Phase One: Lysandia,,2/6/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,164,0,0,PC,11th Dimension Entertainment,RPG,,,0,0,0,0,0,0
18,space-escape-2,Space Escape,,9/5/2015,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,58,0,0,Web,Dark Wall Games,Shooter,,,0,0,0,0,0,0
19,passing-through-the-milky-way,Passing Through the Milky Way,,7/2/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,7,0,0,Web,Dermot,,,,0,0,0,0,0,0
20,corpus100,CORPUS100,,5/12/2017,FALSE,2019-08-28T23:25:11,,0,0,0,0,0,48,0,0,Web,MAVW,Shooter,,,0,0,0,0,0,0
21,thoughts,Thoughts,,5/5/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,56,0,0,PC,VikkiRuttle,Platformer,,,0,0,0,0,0,0
22,blasted-bots,Blasted Bots,,3/7/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,201,0,0,PC,IanAnimated,Shooter,,,0,0,0,0,0,0
23,the-spaghetti-western-excavation,The Spaghetti Western Excavation,,3/31/2018,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,22,0,0,Web,Jordan Oloman,,,,0,0,0,0,0,0
24,life-is-feudal-forest-village,Life is Feudal: Forest Village,,8/26/2016,FALSE,2019-09-17T10:28:05,http://lifeisfeudal.com/fv,3.74,4,3,29,18,596,0,19,PC,Mindillusion,Strategy||Simulation||Indie,Bitbox,,8,150,7,10,5,4
25,legionwood-2-rise-of-the-eternals-realm,Legionwood 2: Rise of the Eternal's Realm,,1/3/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,230,0,0,PC,Dark Gaia Studios,RPG,,,0,0,0,0,0,0
26,shape-master,Shape Master,,4/18/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,129,0,0,PC||macOS||Linux,B0pt1K,,,,0,0,0,0,0,0
27,my-world,My World,,4/25/2017,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,84,0,0,PC||macOS,ciderwrath,,,,0,0,0,0,0,0
28,toilet-tycoon-itch,Toilet Tycoon (itch),,5/3/2016,FALSE,2019-01-09T12:41:06,,0,0,0,0,0,124,0,0,PC,Plug In Digital,Strategy||Simulation,,,0,0,0,0,0,0
